"election","election_date","locality","precinct","Early Voting","Election Day","Mailed Absentee","Provisional","Post-Election","TotalVoteTurnout","ActiveRegisteredVoters","InactiveRegisteredVoters","TotalRegisteredVoters"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","208 - NOVA ARTS CENTER","857","843","297","138","53","2188","2828","735","3563"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","209 - JAMES K POLK SCHOOL","1214","1208","376","128","76","3002","3988","701","4689"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","210 - F.T. DAY SCHOOL","765","612","236","91","49","1753","2213","715","2928"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","211 - ALEX RENEW","1357","884","432","197","71","2941","3453","682","4135"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","212 - THE VIEW ALEXANDRIA","442","500","370","65","36","1413","1806","348","2154"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","302 - PATRICK HENRY REC CENTER","878","883","236","152","66","2215","3259","738","3997"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","303 - CHARLES E BEATLEY LIBRARY","1009","735","258","136","43","2181","2971","716","3687"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","304 - TUCKER SCHOOL","1057","1019","299","139","61","2575","3578","1080","4658"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","305 - JOHN ADAMS SCHOOL","507","1037","195","161","43","1943","2938","685","3623"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","306 - WILLIAM RAMSAY SCHOOL","676","841","292","111","37","1957","2785","361","3146"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","307 - TUCKER WEST","1167","771","407","93","63","2501","3309","664","3973"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","308 - CAMERON STATION COMMUNITY CTR","1439","1091","407","81","90","3108","3560","612","4172"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","309 - OLYMPUS CONDO","601","766","183","92","44","1686","2435","527","2962"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","310 - DEL PEPPER CENTER","490","759","179","143","27","1598","2531","915","3446"
"2024 November General","11/05/2024 00:00:00","ALEXANDRIA CITY","ALEXANDRIA CITY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","ALLEGHANY COUNTY","101 - ARRITT","259","592","35","16","6","908","1158","33","1191"
"2024 November General","11/05/2024 00:00:00","ALLEGHANY COUNTY","103 - DAMERON","52","251","6","6","","315","399","14","413"
"2024 November General","11/05/2024 00:00:00","ALLEGHANY COUNTY","201 - HUMPBACK BRIDGE","155","314","26","4","2","501","642","36","678"
"2024 November General","11/05/2024 00:00:00","ALLEGHANY COUNTY","202 - DOLLY ANN","228","460","44","30","3","765","935","69","1004"
"2024 November General","11/05/2024 00:00:00","ALLEGHANY COUNTY","301 - CALLAGHAN","144","302","11","2","","459","574","15","589"
"2024 November General","11/05/2024 00:00:00","ALLEGHANY COUNTY","302 - GRIFFITH","235","489","19","11","4","758","939","32","971"
"2024 November General","11/05/2024 00:00:00","ALLEGHANY COUNTY","401 - LOW MOOR","147","364","34","16","3","564","714","25","739"
"2024 November General","11/05/2024 00:00:00","ALLEGHANY COUNTY","402 - JACKSON HEIGHTS","246","489","45","13","1","794","995","37","1032"
"2024 November General","11/05/2024 00:00:00","ALLEGHANY COUNTY","501 - IRON GATE","47","211","8","5","","271","378","17","395"
"2024 November General","11/05/2024 00:00:00","ALLEGHANY COUNTY","502 - PETERS SWITCH","194","770","25","18","1","1008","1263","47","1310"
"2024 November General","11/05/2024 00:00:00","ALLEGHANY COUNTY","601 - DISTRICT 1","253","667","93","15","2","1030","1386","97","1483"
"2024 November General","11/05/2024 00:00:00","ALLEGHANY COUNTY","701 - DISTRICT 2","233","631","74","30","3","971","1470","124","1594"
"2024 November General","11/05/2024 00:00:00","ALLEGHANY COUNTY","ALLEGHANY COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","AMELIA COUNTY","101 - NUMBER ONE","548","745","63","23","3","1382","1838","59","1897"
"2024 November General","11/05/2024 00:00:00","AMELIA COUNTY","201 - NUMBER TWO","736","805","70","27","7","1645","2012","63","2075"
"2024 November General","11/05/2024 00:00:00","AMELIA COUNTY","301 - NUMBER THREE","748","812","64","14","5","1643","2109","51","2160"
"2024 November General","11/05/2024 00:00:00","AMELIA COUNTY","401 - NUMBER FOUR","909","668","122","22","8","1729","2225","77","2302"
"2024 November General","11/05/2024 00:00:00","AMELIA COUNTY","501 - NUMBER FIVE","643","929","63","34","2","1671","2115","64","2179"
"2024 November General","11/05/2024 00:00:00","AMELIA COUNTY","AMELIA COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","AMHERST COUNTY","101 - WRIGHT SHOP","337","664","117","15","1","1134","1579","60","1639"
"2024 November General","11/05/2024 00:00:00","AMHERST COUNTY","102 - NEW GLASGOW","672","802","86","21","2","1583","2081","55","2136"
"2024 November General","11/05/2024 00:00:00","AMHERST COUNTY","103 - COOLWELL","224","456","33","18","1","732","955","33","988"
"2024 November General","11/05/2024 00:00:00","AMHERST COUNTY","201 - COURT HOUSE","1153","1073","184","52","1","2463","3170","143","3313"
"2024 November General","11/05/2024 00:00:00","AMHERST COUNTY","202 - TEMPERANCE","332","561","61","7","4","965","1191","30","1221"
"2024 November General","11/05/2024 00:00:00","AMHERST COUNTY","301 - MONROE","343","549","64","37","3","996","1250","47","1297"
"2024 November General","11/05/2024 00:00:00","AMHERST COUNTY","302 - ELON","925","1404","147","25","7","2508","3036","93","3129"
"2024 November General","11/05/2024 00:00:00","AMHERST COUNTY","303 - PLEASANT VIEW","216","393","37","6","1","653","786","27","813"
"2024 November General","11/05/2024 00:00:00","AMHERST COUNTY","401 - AMELON","919","1431","171","43","3","2567","3359","135","3494"
"2024 November General","11/05/2024 00:00:00","AMHERST COUNTY","402 - LONCO","275","503","69","13","3","863","1176","72","1248"
"2024 November General","11/05/2024 00:00:00","AMHERST COUNTY","501 - MADISON","1059","1690","228","63","6","3046","4273","176","4449"
"2024 November General","11/05/2024 00:00:00","AMHERST COUNTY","AMHERST COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","APPOMATTOX COUNTY","101 - VERA","286","359","29","4","1","679","822","43","865"
"2024 November General","11/05/2024 00:00:00","APPOMATTOX COUNTY","102 - PAMPLIN","480","698","55","20","","1253","1603","84","1687"
"2024 November General","11/05/2024 00:00:00","APPOMATTOX COUNTY","201 - CHAP","118","267","21","1","","407","578","26","604"
"2024 November General","11/05/2024 00:00:00","APPOMATTOX COUNTY","202 - SPOUT SPRING","703","797","57","24","3","1584","1909","81","1990"
"2024 November General","11/05/2024 00:00:00","APPOMATTOX COUNTY","301 - US  460","355","559","32","9","2","957","1173","52","1225"
"2024 November General","11/05/2024 00:00:00","APPOMATTOX COUNTY","302 - STONEWALL","475","662","47","13","","1197","1420","72","1492"
"2024 November General","11/05/2024 00:00:00","APPOMATTOX COUNTY","401 - COURTHOUSE","780","815","85","51","2","1733","2282","110","2392"
"2024 November General","11/05/2024 00:00:00","APPOMATTOX COUNTY","501 - OAKVILLE","591","683","50","18","4","1346","1715","67","1782"
"2024 November General","11/05/2024 00:00:00","APPOMATTOX COUNTY","502 - AGEE","239","293","32","6","","570","737","35","772"
"2024 November General","11/05/2024 00:00:00","APPOMATTOX COUNTY","APPOMATTOX COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","101 - PRECINCT 101","663","1060","153","104","93","2073","2913","300","3213"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","102 - PRECINCT 102","1273","942","356","94","44","2709","3482","418","3900"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","103 - PRECINCT 103","801","519","231","36","40","1627","1984","179","2163"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","104 - PRECINCT 104","1284","1120","407","104","66","2981","3787","473","4260"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","105 - PRECINCT 105","954","1005","315","67","41","2382","2920","322","3242"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","106 - PRECINCT 106","1163","659","314","160","32","2328","3006","591","3597"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","107 - PRECINCT 107","1286","829","439","50","46","2650","3153","341","3494"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","108 - PRECINCT 108","1218","1164","442","164","50","3038","4171","749","4920"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","109 - PRECINCT 109","1623","993","329","125","46","3116","4148","570","4718"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","110 - PRECINCT 110","1717","1085","491","218","71","3582","4823","851","5674"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","111 - PRECINCT 111","835","712","283","16","39","1885","2230","154","2384"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","112 - PRECINCT 112","859","1047","316","29","45","2296","2694","230","2924"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","113 - PRECINCT 113","570","837","230","44","29","1710","2230","167","2397"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","114 - PRECINCT 114","793","756","313","60","33","1955","2505","335","2840"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","115 - PRECINCT 115","584","599","176","55","22","1436","1808","241","2049"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","116 - PRECINCT 116","1428","1037","444","124","57","3090","3884","446","4330"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","117 - PRECINCT 117","1356","871","499","55","64","2845","3316","319","3635"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","118 - PRECINCT 118","2510","1236","525","217","67","4555","6184","1128","7312"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","119 - PRECINCT 119","1622","1247","536","283","106","3794","5123","928","6051"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","120 - PRECINCT 120","1456","590","456","28","62","2592","3078","165","3243"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","121 - PRECINCT 121","588","484","202","48","44","1366","1789","177","1966"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","122 - PRECINCT 122","1039","1021","327","52","53","2492","2989","306","3295"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","123 - PRECINCT 123","965","1032","372","43","51","2463","2987","198","3185"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","124 - PRECINCT 124","1516","1188","489","71","74","3338","4159","348","4507"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","125 - PRECINCT 125","984","955","381","66","45","2431","2979","296","3275"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","126 - PRECINCT 126","1228","999","324","128","44","2723","3685","530","4215"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","127 - PRECINCT 127","1222","1040","342","89","45","2738","3448","349","3797"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","128 - PRECINCT 128","1084","1273","384","108","45","2894","4006","505","4511"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","129 - PRECINCT 129","1133","901","406","32","48","2520","2929","146","3075"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","130 - PRECINCT 130","969","1054","246","97","35","2401","3387","312","3699"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","131 - PRECINCT 131","1243","884","379","27","51","2584","2984","179","3163"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","132 - PRECINCT 132","411","405","157","49","26","1048","1417","178","1595"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","133 - PRECINCT 133","1389","795","418","30","53","2685","3143","169","3312"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","134 - PRECINCT 134","1133","754","371","24","40","2322","2747","146","2893"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","135 - PRECINCT 135","1747","629","425","30","41","2872","3364","169","3533"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","136 - PRECINCT 136","1334","840","428","71","69","2742","3409","283","3692"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","137 - PRECINCT 137","1031","865","393","28","47","2364","2772","126","2898"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","138 - PRECINCT 138","889","838","226","116","46","2115","3094","587","3681"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","139 - PRECINCT 139","584","602","237","28","34","1485","1812","100","1912"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","140 - PRECINCT 140","1522","1307","465","167","51","3512","4546","674","5220"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","141 - PRECINCT 141","1649","774","289","167","51","2930","3842","594","4436"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","142 - PRECINCT 142","921","755","279","77","45","2077","2768","434","3202"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","143 - PRECINCT 143","445","1050","159","113","22","1789","2776","271","3047"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","144 - PRECINCT 144","820","690","221","105","41","1877","2497","541","3038"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","145 - PRECINCT 145","772","810","326","105","45","2058","2798","380","3178"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","146 - PRECINCT 146","1279","1362","384","177","68","3270","4331","759","5090"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","147 - PRECINCT 147","777","801","204","67","40","1889","2514","255","2769"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","148 - PRECINCT 148","1201","555","264","87","45","2152","2747","434","3181"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","149 - PRECINCT 149","765","887","274","84","43","2053","2712","441","3153"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","150 - PRECINCT 150","1115","854","327","176","53","2525","3660","811","4471"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","151 - PRECINCT 151","138","428","82","23","10","681","835","73","908"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","152 - PRECINCT 152","609","880","194","107","33","1823","2627","453","3080"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","153 - PRECINCT 153","1023","1037","290","210","53","2613","3569","741","4310"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","154 - PRECINCT 154","547","427","133","109","23","1239","1662","310","1972"
"2024 November General","11/05/2024 00:00:00","ARLINGTON COUNTY","ARLINGTON COUNTY PROVISIONALS","","","","0","","0","","",""
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","101 - JOLIVUE","537","586","92","22","5","1242","1565","69","1634"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","102 - STUARTS DRAFT ELEMENTARY","242","406","53","21","1","723","1042","81","1123"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","103 - VERONA","931","672","87","31","1","1722","2185","53","2238"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","104 - WILSON","783","783","133","56","7","1762","2463","153","2616"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","201 - CRIMORA","977","1466","139","56","3","2641","3557","110","3667"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","202 - NEW HOPE","467","754","52","26","","1299","1511","36","1547"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","203 - WEYERS CAVE","813","1250","93","27","8","2191","2737","96","2833"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","301 - FORT DEFIANCE","840","711","90","36","8","1685","2034","57","2091"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","302 - NORTH RIVER","483","768","60","21","5","1337","1592","31","1623"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","303 - MOUNT SOLON","238","918","49","29","4","1238","1505","36","1541"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","304 - ROLLA","1285","790","135","31","7","2248","2835","92","2927"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","401 - BUFFALO GAP","511","815","67","24","2","1419","1711","43","1754"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","402 - CHURCHVILLE ELEMENTARY","663","989","83","33","6","1774","2135","49","2184"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","403 - CRAIGSVILLE","153","695","22","22","2","894","1238","54","1292"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","404 - DEERFIELD","79","324","10","10","","423","499","6","505"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","405 - CEDAR GREEN","813","779","93","25","5","1715","2110","51","2161"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","501 - GREENVILLE","660","1162","117","26","3","1968","2363","69","2432"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","502 - MIDDLEBROOK","201","515","51","7","2","776","935","22","957"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","503 - SPOTTSWOOD","266","741","55","19","2","1083","1308","41","1349"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","504 - WHITE HILL","1064","1333","175","59","6","2637","3439","166","3605"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","601 - SHERANDO","396","1037","86","25","3","1547","1918","70","1988"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","602 - RIDGEVIEW","800","1263","139","54","4","2260","2785","81","2866"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","603 - LYNDHURST","385","722","75","21","8","1211","1493","49","1542"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","604 - MOUNT VERNON","725","886","121","39","4","1775","2193","74","2267"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","801 - DOOMS","588","916","94","24","6","1628","2044","45","2089"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","802 - FISHERSVILLE","1435","1323","289","60","6","3113","3771","201","3972"
